replica,escenario,origen,destino,base,cerrado
14,base,z15,z15,250.87391039795494,250.87391039795494
14,base,z15,z16,250.94244187329315,250.94244187329315
14,base,z16,z10,957.6372773504686,957.6372773504686
14,base,z16,z15,290.13937028933015,290.13937028933015
14,base,z16,z16,300.85028435595973,300.85028435595973
14,vista_hermosa,z10,z10,303.05157553741947,303.0516715534138
14,vista_hermosa,z10,z15,789.2672804138801,1414.4520127360886
14,vista_hermosa,z10,z16,840.676618942362,1310.6595639523923
14,vista_hermosa,z15,z10,870.9673646584378,1200.1608918168472
14,vista_hermosa,z15,z15,250.87391039795494,253.19706562339735
14,vista_hermosa,z15,z16,250.94244187329315,250.99419010681416
14,vista_hermosa,z16,z10,957.6372773504686,1197.9670679706521
14,vista_hermosa,z16,z15,290.13937028933015,290.45568094831856
14,vista_hermosa,z16,z16,300.85028435595973,301.53583288857175
14,reforma,z10,z10,303.05157553741947,301.1266352489712
14,reforma,z10,z15,789.2672804138801,778.8964477359486
14,reforma,z10,z16,840.676618942362,834.039602644637
14,reforma,z15,z10,870.9673646584378,860.4087225395862
14,reforma,z15,z15,250.87391039795494,250.87396219337472
14,reforma,z15,z16,250.94244187329315,250.94244187329315
14,reforma,z16,z10,957.6372773504686,942.6580837727396
14,reforma,z16,z15,290.13937028933015,290.13937028933015
